x,y,Podocnemis.lewyana
-75.89618666,8.804733962,1
-75.81285333,8.804733962,1
-75.72952,8.804733962,1
-75.14618666,8.804733962,1
-75.06285333,8.804733962,1
-74.97952,8.804733962,1
-74.89618667,8.804733962,1
-74.81285333,8.804733962,1
-74.72952,8.804733962,1
-74.64618667,8.804733962,1
-74.56285333,8.804733962,1
-74.47952,8.804733962,1
-74.39618667,8.804733962,1
-74.31285333,8.804733962,1
-74.22952,8.804733962,1
-74.14618667,8.804733962,1
-74.06285334,8.804733962,1
-73.97952,8.804733962,1
-73.89618667,8.804733962,1
-73.81285334,8.804733962,1
-73.72952,8.804733962,1
-73.64618667,8.804733962,1
-76.06285333,8.721400629,1
-75.97951999,8.721400629,1
-75.89618666,8.721400629,1
-75.81285333,8.721400629,1
-75.72952,8.721400629,1
-75.22952,8.721400629,1
-75.14618666,8.721400629,1
-75.06285333,8.721400629,1
-74.97952,8.721400629,1
-74.89618667,8.721400629,1
-74.81285333,8.721400629,1
-74.72952,8.721400629,1
-74.64618667,8.721400629,1
-74.56285333,8.721400629,1
-74.47952,8.721400629,1
-74.39618667,8.721400629,1
-73.97952,8.721400629,1
-73.89618667,8.721400629,1
-73.81285334,8.721400629,1
-73.72952,8.721400629,1
-73.64618667,8.721400629,1
-76.14618666,8.638067296,1
-76.06285333,8.638067296,1
-75.97951999,8.638067296,1
-75.89618666,8.638067296,1
-75.06285333,8.638067296,1
-74.97952,8.638067296,1
-74.89618667,8.638067296,1
-74.81285333,8.638067296,1
-74.72952,8.638067296,1
-74.64618667,8.638067296,1
-74.56285333,8.638067296,1
-74.47952,8.638067296,1
-74.39618667,8.638067296,1
-73.97952,8.638067296,1
-73.89618667,8.638067296,1
-73.81285334,8.638067296,1
-73.72952,8.638067296,1
-73.64618667,8.638067296,1
-76.22951999,8.554733963,1
-76.14618666,8.554733963,1
-76.06285333,8.554733963,1
-75.97951999,8.554733963,1
-75.89618666,8.554733963,1
-75.81285333,8.554733963,1
-75.72952,8.554733963,1
-75.39618666,8.554733963,1
-75.31285333,8.554733963,1
-75.22952,8.554733963,1
-75.14618666,8.554733963,1
-75.06285333,8.554733963,1
-74.97952,8.554733963,1
-74.89618667,8.554733963,1
-74.81285333,8.554733963,1
-74.72952,8.554733963,1
-74.64618667,8.554733963,1
-74.56285333,8.554733963,1
-74.47952,8.554733963,1
-73.89618667,8.554733963,1
-73.81285334,8.554733963,1
-73.72952,8.554733963,1
-73.64618667,8.554733963,1
-73.56285334,8.554733963,1
-76.22951999,8.47140063,1
-76.14618666,8.47140063,1
-76.06285333,8.47140063,1
-75.97951999,8.47140063,1
-75.89618666,8.47140063,1
-75.81285333,8.47140063,1
